doc_id,lang,text,en_translation
94,ur,"AI سسٹمز آبپاشی کے شیڈول کو بہتر بنا کر پانی کا ضیاع کم کرتے ہیں۔","AI systems improve irrigation schedules and reduce water waste."
95,hi,"कृषि तकनीक फसलों की निगरानी के लिए ड्रोन का उपयोग करती है।","Agricultural technology uses drones to monitor crops."
96,hi,"एआई सिस्टम सिंचाई को अनुकूलित कर पानी की बचत करते हैं।","AI systems optimize irrigation and save water."
97,ar,"تستخدم التكنولوجيا الزراعية الطائرات بدون طيار لمراقبة صحة المحاصيل.","Agricultural technology uses drones to monitor crop health."
98,ar,"تحسن أنظمة الذكاء الاصطناعي جداول الري لتقليل الهدر.","AI systems improve irrigation schedules to reduce waste."
99,fr,"La technologie agricole utilise des drones pour surveiller la santé des cultures.","Agricultural technology uses drones to monitor crop health."
100,fr,"Les systèmes d'IA optimisent l'irrigation pour réduire le gaspillage d'eau.","AI systems optimize irrigation to reduce water waste."

101,en,"Generative AI models create realistic images and text from simple prompts.","Generative AI models create realistic images and text from simple prompts."
102,en,"Reinforcement learning is widely used in robotics optimization.","Reinforcement learning is widely used in robotics optimization."
103,ur,"جنریٹیو AI ماڈلز سادہ پرامپٹس سے حقیقت کے قریب مواد بناتے ہیں۔","Generative AI models create realistic content from simple prompts."
104,ur,"ری انفورسمنٹ لرننگ روبوٹکس کی بہتری میں اہم کردار ادا کرتی ہے۔","Reinforcement learning plays an important role in improving robotics."
105,hi,"जनरेटिव एआई मॉडल सरल निर्देशों से यथार्थ सामग्री उत्पन्न करते हैं।","Generative AI models produce realistic content from simple instructions."
106,hi,"रीइन्फोर्समेंट लर्निंग रोबोटिक्स में महत्वपूर्ण है।","Reinforcement learning is important in robotics."
107,ar,"تنشئ نماذج الذكاء الاصطناعي التوليدي صورًا ونصوصًا واقعية.","Generative AI models create realistic images and texts."
108,ar,"يُستخدم التعلم المعزز بشكل واسع في الروبوتات.","Reinforcement learning is widely used in robotics."
109,fr,"Les modèles génératifs créent des images réalistes.","Generative models create realistic images."
110,fr,"L’apprentissage par renforcement est essentiel en robotique.","Reinforcement learning is essential in robotics."

111,en,"Big data analytics helps organizations discover hidden patterns in massive datasets.","Big data analytics helps organizations discover hidden patterns in massive datasets."
112,en,"Cloud computing accelerates deployment of AI solutions.","Cloud computing accelerates deployment of AI solutions."
113,ur,"بگ ڈیٹا اینالٹکس بڑے ڈیٹاسیٹس میں پوشیدہ پیٹرنز کو ظاہر کرتی ہے۔","Big data analytics reveals hidden patterns in large datasets."
114,ur,"کلاؤڈ کمپیوٹنگ AI حلوں کی تعیناتی کو تیز کرتی ہے۔","Cloud computing speeds up the deployment of AI solutions."
115,hi,"बिग डेटा एनालिटिक्स बड़े डेटा सेट्स में छिपे पैटर्न खोजता है।","Big data analytics finds hidden patterns in large datasets."
116,hi,"क्लाउड कंप्यूटिंग एआई समाधान लागू करने की गति बढ़ाता है।","Cloud computing increases the speed of deploying AI solutions."
117,ar,"تحلل تقنيات البيانات الضخمة الأنماط المخفية.","Big data techniques analyze and reveal hidden patterns."
118,ar,"تسرّع الحوسبة السحابية نشر حلول الذكاء الاصطناعي.","Cloud computing speeds up the deployment of AI solutions."
119,fr,"L'analyse de big data révèle des tendances cachées.","Big data analysis reveals hidden trends."
120,fr,"Le cloud accélère la mise en œuvre des solutions d'IA.","The cloud speeds up the implementation of AI solutions."

121,en,"Renewable energy research focuses on solar efficiency and battery innovations.","Renewable energy research focuses on solar efficiency and battery innovations."
122,en,"Wind turbine analytics improve power generation forecasting.","Wind turbine analytics improve power generation forecasting."
123,ur,"قابل تجدید توانائی کی تحقیق میں شمسی مؤثریت اور بیٹری میں جدت پر توجہ دی جاتی ہے۔","Renewable energy research focuses on solar efficiency and innovations in batteries."
124,ur,"ہوا کے ٹربائن کے تجزیے توانائی کی پیش گوئی کو بہتر بناتے ہیں۔","Wind turbine analysis improves energy forecasting."
125,hi,"नवीकरणीय ऊर्जा अनुसंधान सौर दक्षता और बैटरी नवाचार पर केंद्रित है।","Renewable energy research focuses on solar efficiency and battery innovation."
126,hi,"विंड टरबाइन विश्लेषण ऊर्जा पूर्वानुमान को बेहतर बनाता है।","Wind turbine analysis improves energy forecasting."
127,ar,"تركز أبحاث الطاقة المتجددة على كفاءة الطاقة الشمسية.","Renewable energy research focuses on solar energy efficiency."
128,ar,"تحسن التحليلات الخاصة بتوربينات الرياح التنبؤ بالطاقة.","Wind turbine analytics improve energy prediction."
129,fr,"La recherche en énergie renouvelable vise à améliorer le solaire.","Renewable energy research aims to improve solar power."
130,fr,"Les analyses d’éoliennes améliorent la prévision de production.","Wind turbine analytics improve production forecasting."

131,en,"Smart cities use IoT devices for traffic management and pollution monitoring.","Smart cities use IoT devices for traffic management and pollution monitoring."
132,en,"Urban planning benefits from AI-driven simulations.","Urban planning benefits from AI-driven simulations."
133,ur,"سمارٹ شہر ٹریفک اور آلودگی کی نگرانی کے لئے IoT آلات استعمال کرتے ہیں۔","Smart cities use IoT devices to monitor traffic and pollution."
134,ur,"AI پر مبنی سمیولیشن شہری منصوبہ بندی کو بہتر بناتی ہے۔","AI-based simulations improve urban planning."
135,hi,"स्मार्ट शहर ट्रैफिक और प्रदूषण की निगरानी के लिए IoT का उपयोग करते हैं।","Smart cities use IoT to monitor traffic and pollution."
136,hi,"एआई आधारित सिमुलेशन शहरी योजना में सहायक है।","AI-based simulation helps in urban planning."
137,ar,"تستخدم المدن الذكية أجهزة إنترنت الأشياء لإدارة المرور.","Smart cities use IoT devices to manage traffic."
138,ar,"تساعد المحاكاة المعتمدة على الذكاء الاصطناعي في التخطيط الحضري.","AI-based simulations help with urban planning."
139,fr,"Les villes intelligentes utilisent l’IoT pour gérer la circulation.","Smart cities use IoT to manage traffic."
140,fr,"Les simulations IA améliorent la planification urbaine.","AI simulations improve urban planning."

141,en,"Blockchain technology ensures transparency in supply chain tracking.","Blockchain technology ensures transparency in supply chain tracking."
142,en,"Smart contracts automate verification and reduce fraud.","Smart contracts automate verification and reduce fraud."
143,ur,"بلاک چین ٹیکنالوجی سپلائی چین میں شفافیت کو یقینی بناتی ہے۔","Blockchain technology ensures transparency in the supply chain."
144,ur,"سمارٹ کانٹریکٹس خودکار تصدیق اور دھوکہ دہی کو کم کرتے ہیں۔","Smart contracts automate verification and reduce fraud."
145,hi,"ब्लॉकचेन सप्लाई चेन में पारदर्शिता प्रदान करता है।","Blockchain provides transparency in the supply chain."
146,hi,"स्मार्ट कॉन्ट्रैक्ट सत्यापन को स्वचालित करते हैं और धोखाधड़ी कम करते हैं।","Smart contracts automate verification and reduce fraud."
147,ar,"توفر تقنية البلوك تشين الشفافية في تتبع سلسلة الإمداد.","Blockchain technology provides transparency in tracking the supply chain."
148,ar,"تُستخدم العقود الذكية لأتمتة التحقق.","Smart contracts are used to automate verification."
149,fr,"La blockchain assure la transparence dans les chaînes d’approvisionnement.","Blockchain ensures transparency in supply chains."
150,fr,"Les contrats intelligents automatisent la vérification.","Smart contracts automate verification."

151,en,"Robotic process automation reduces repetitive manual tasks in enterprises.","Robotic process automation reduces repetitive manual tasks in enterprises."
152,en,"Chatbots enhance customer support through real-time assistance.","Chatbots enhance customer support through real-time assistance."
153,ur,"روبوٹک پروسس آٹومیشن دستی کاموں کو کم کرتی ہے۔","Robotic process automation reduces manual work."
154,ur,"چैट بوٹس ریئل ٹائم مدد کے ذریعے کسٹمر سپورٹ کو بہتر بناتے ہیں۔","Chatbots improve customer support through real-time help."
155,hi,"रोबोटिक प्रोसेस ऑटोमेशन दोहराए जाने वाले कार्यों को कम करता है।","Robotic process automation reduces repetitive tasks."
156,hi,"चैटबॉट वास्तविक समय सहायता से ग्राहक सेवा में सुधार करते हैं।","Chatbots improve customer service with real-time assistance."
157,ar,"تقلل الأتمتة الروبوتية المهام المتكررة.","Robotic automation reduces repetitive tasks."
158,ar,"تحسن روبوتات الدردشة خدمة العملاء.","Chatbots improve customer service."
159,fr,"L'automatisation robotique réduit les tâches répétitives.","Robotic automation reduces repetitive tasks."
160,fr,"Les chatbots améliorent l’assistance client.","Chatbots improve customer support."

161,en,"Quantum computing promises exponential breakthroughs in complex problem solving.","Quantum computing promises exponential breakthroughs in complex problem solving."
162,en,"Hybrid quantum-classical models accelerate optimization workloads.","Hybrid quantum-classical models accelerate optimization workloads."
163,ur,"کوانٹم کمپیوٹنگ پیچیدہ مسائل کے حل میں انقلاب لا سکتی ہے۔","Quantum computing can revolutionize the solving of complex problems."
164,ur,"ہائبرڈ کوانٹم ماڈلز آپٹیمائزیشن کے عمل کو تیز کرتے ہیں۔","Hybrid quantum models speed up optimization processes."
165,hi,"क्वांटम कंप्यूटिंग जटिल समस्याओं के समाधान में क्रांति ला सकती है।","Quantum computing can revolutionize solving complex problems."
166,hi,"हाइब्रिड क्वांटम मॉडल अनुकूलन प्रक्रियाओं को तेज करते हैं।","Hybrid quantum models accelerate optimization processes."
167,ar,"توفر الحوسبة الكمومية حلولًا ثورية للمشكلات المعقدة.","Quantum computing provides revolutionary solutions for complex problems."
168,ar,"تسرع النماذج الهجينة عمليات التحسين.","Hybrid models speed up optimization operations."
169,fr,"L’informatique quantique promet des avancées majeures.","Quantum computing promises major advances."
170,fr,"Les modèles hybrides accélèrent les calculs d’optimisation.","Hybrid models speed up optimization computations."

171,en,"5G networks enable ultra-fast communication for smart devices.","5G networks enable ultra-fast communication for smart devices."
172,en,"Edge computing reduces latency by processing data closer to users.","Edge computing reduces latency by processing data closer to users."
173,ur,"5G نیٹ ورکس اسمارٹ ڈیوائسز کے لئے انتہائی تیز رفتار رابطہ فراہم کرتے ہیں۔","5G networks provide extremely fast connectivity for smart devices."
174,ur,"ایج کمپیوٹنگ ڈیٹا پروسیسنگ کو تیز کرتی ہے۔","Edge computing speeds up data processing."
175,hi,"5G नेटवर्क स्मार्ट डिवाइसों के लिए तेज संचार सक्षम करते हैं।","5G networks enable fast communication for smart devices."
176,hi,"एज कंप्यूटिंग विलंबता को कम करती है।","Edge computing reduces latency."
177,ar,"توفر شبكات 5G اتصالًا سريعًا للغاية.","5G networks provide extremely fast connectivity."
178,ar,"تقلل الحوسبة الطرفية من زمن الاستجابة.","Edge computing reduces response time."
179,fr,"La 5G offre une communication ultra-rapide.","5G offers ultra-fast communication."
180,fr,"Le edge computing réduit la latence.","Edge computing reduces latency."

181,en,"Advanced manufacturing uses AI-driven quality inspection systems.","Advanced manufacturing uses AI-driven quality inspection systems."
182,en,"Robots improve factory precision and reduce defects.","Robots improve factory precision and reduce defects."
183,ur,"جدید مینوفیکچرنگ AI پر مبنی کوالٹی انسپکشن استعمال کرتی ہے۔","Modern manufacturing uses AI-based quality inspection."
184,ur,"روبوٹس کارخانوں میں درستگی بڑھاتے ہیں۔","Robots increase accuracy in factories."
185,hi,"उन्नत मैन्युफैक्चरिंग एआई आधारित गुणवत्ता निरीक्षण का उपयोग करती है।","Advanced manufacturing uses AI-based quality inspection."
186,hi,"रोबोट कारखानों में सटीकता बढ़ाते हैं।","Robots increase precision in factories."
187,ar,"تستخدم الصناعات المتقدمة أنظمة فحص ذكية.","Advanced industries use intelligent inspection systems."
188,ar,"تحسن الروبوتات دقة المصانع.","Robots improve factory precision."
189,fr,"La fabrication avancée utilise l’inspection IA.","Advanced manufacturing uses AI inspection."
190,fr,"Les robots améliorent la précision.","Robots improve precision."

191,en,"Digital agriculture adopts sensors to measure soil moisture accurately.","Digital agriculture adopts sensors to measure soil moisture accurately."
192,en,"Satellite imagery helps predict crop yields with machine learning.","Satellite imagery helps predict crop yields with machine learning."
193,ur,"ڈیجیٹل زراعت مٹی کی نمی کی پیمائش کے لئے سینسر استعمال کرتی ہے۔","Digital agriculture uses sensors to measure soil moisture."
194,ur,"سیٹلائٹ امیجنگ فصل کی پیداوار کی پیش گوئی میں مدد دیتی ہے۔","Satellite imaging helps predict crop yields."
195,hi,"डिजिटल कृषि मिट्टी की नमी मापने के लिए सेंसर अपनाती है।","Digital agriculture uses sensors to measure soil moisture."
196,hi,"उपग्रह चित्र मशीन लर्निंग द्वारा फसल उपज का पूर्वानुमान लगाते हैं।","Satellite images use machine learning to predict crop yields."
197,ar,"تعتمد الزراعة الرقمية على أجهزة استشعار لقياس رطوبة التربة.","Digital agriculture relies on sensors to measure soil moisture."
198,ar,"تساعد صور الأقمار الصناعية في التنبؤ بإنتاج المحاصيل.","Satellite images help predict crop production."
199,fr,"L’agriculture numérique utilise des capteurs d’humidité.","Digital agriculture uses moisture sensors."
200,fr,"Les images satellites prévoient les rendements agricoles.","Satellite images predict agricultural yields."
